Expert Rating,ExpertNumber,Team,Vision,Product,Value of Token Sold in ICO,Status,Price in ICO,Price in ICO_1,Tokens for sale,Min. investment,Distributed in ICO,Soft cap,Hard cap
4.3,4,3.8,3.4,4.4,10600000,Ended,0.0087,0.0087,3.25E+09,100,325,2.50E+07,3.50E+07
4,11,4.3,3.9,3.8,NA,NA,NA,0.34,6.00E+07,10,58,2.00E+06,15300000
2.9,0,NA,NA,NA,NA,Ended,0.1034,0.1034,2.00E+07,100,NA,1.00E+07,2.00E+07
4.6,6,4.2,4.3,4.4,52500000,Trading,0.1,0.1,5.25E+08,1.00E+05,52.5,2.00E+07,52500000
4.9,0,NA,NA,NA,6294962,Ended,0.1583,0.1583,2.00E+08,100,60,3500000,4.00E+07
4.3,35,4.7,3.9,4.3,1500000,Ended,0.82,0.82,5.50E+07,NA,55,NA,2.00E+07
4.5,11,4.3,4.7,4.1,NA,Ended,0.1,0.1,4.50E+08,0.5,4511,1.00E+06,2.20E+07
4,12,4.3,3.5,3.6,NA,Ended,0.0908,0.0908,1.20E+08,1,60,1500000,1.20E+07
4,15,4.1,3.8,3.6,5170071,Trading,0.0023,0.0023,2.88E+09,0.01,72,4000,28800
4.1,14,4,3.8,4.1,NA,Ended,0.312,0.312,6.60E+07,0.5,66,1000,3800
4.6,2,4.5,4.5,4.5,NA,Ended,1,1,NA,10,34.3,1.00E+05,2.00E+06
4.6,4,4.5,4.5,4.8,NA,Ended,0.032,0.032,3.50E+08,NA,35,1.00E+06,9.00E+06
4.5,2,4.5,4,4,5500000,Trading,1,1,1.00E+08,NA,33,NA,NA
4.1,16,4.1,4,3.8,272130,Ended,0.0691,0.0691,2.40E+08,1.5,60,3000,22500
4.1,4,4.1,3.7,3.7,16456000,Ended,0.1,0.1,6.00E+08,1,15,1.50E+07,6.00E+07
3.5,7,3,3.4,2.9,46620000,Ended,0.1998,0.1998,5.00E+07,NA,40,3.00E+06,6.00E+07
3.4,3,2.4,2.5,1.9,NA,Ended,0.02,0.02,6.00E+08,NA,60,NA,1.00E+07
4.1,40,4.1,4.2,4,NA,Ended,0.2327,0.2327,6.60E+07,0.1,66,4.00E+06,2.00E+07
4.4,29,4.6,4.5,4.2,7.00E+06,Trading,0.12,0.12,2.30E+08,NA,23,3.00E+06,7.00E+06
4.1,10,4.1,3.6,3.9,3.00E+05,Ended,0.49,0.49,7.00E+06,0.1,70,5.00E+05,4500000
4.4,11,4.4,4.5,4.3,NA,Ended,0.0689,0.0689,311111110,80,35,NA,2.50E+07
4.3,9,3.9,4.6,4,3927409,Trading,0.51,0.51,2.10E+07,NA,70,3.00E+06,6.00E+06
