Price,Baths,Beds,SQFT,Year ,Buy
685000,5,3,2840,2010,No
349900,3,4,1926,2016,No
194900,3,3,1600,2017,Yes
126900,2,3,1330,1959,Yes
369900,4,4,2336,2006,No
109900,2,2,1253,1925,Yes
429000,5,4,2950,2015,No
595000,4,3,4182,2016,No
264900,3,4,2262,2016,Yes
485000,4,4,4420,2005,No
457500,3,3,2130,2016,Yes
449900,4,4,2849,2016,No
92900,1,3,1084,1979,Yes
349900,4,4,2266,2016,No
187000,2,3,2380,1913,Yes
595000,5,4,4487,2003,No
569900,4,4,3675,2017,No
79900,1,2,800,1962,Yes
150000,2,3,1472,1961,Yes
111000,2,4,1286,1963,Yes
449900,4,3,2142,2017,Yes
189900,3,4,2014,,Yes
269900,3,4,3686,1991,Yes
649900,4,4,,,No
125000,2,3,1375,1950,Yes
489900,5,3,3980,2010,Yes
164900,3,3,1458,2004,Yes
450000,3,4,3934,1993,No
424900,4,4,3484,2016,No
235000,2,4,2189,1908,Yes
330000,4,4,2429,1994,No
460000,4,4,3804,2002,No
81000,1,2,720,,Yes
139900,2,3,2659,1950,Yes
114900,2,4,1581,1958,Yes
79500,1,3,999,1959,Yes
849000,6,4,7040,1998,No
115000,1,2,1160,1903,Yes
124900,2,4,2441,1965,Yes
179900,2,2,1215,2004,No
989000,5,4,4536,1855,No
469900,3,4,3613,1988,No
229800,3,4,2415,1987,Yes
94900,2,2,1224,2005,Yes
134000,3,3,1496,1962,Yes
89500,1,2,782,1941,Yes
114500,2,3,1869,1940,Yes
159900,2,3,1350,1999,Yes
347900,4,4,2197,2017,No
115000,2,3,1293,1959,Yes
102500,1,3,1025,1955,Yes
204435,2,3,1458,2017,Yes
77100,1,4,1128,1961,Yes
400000,4,4,3579,1988,No
799000,6,4,5390,2005,No
229900,3,4,3100,1969,Yes
399900,3,3,3533,2016,Yes
77500,1,3,968,1979,Yes
145000,1,3,1801,1928,Yes
369900,4,4,3321,2016,No
120000,2,3,1624,1913,Yes
115000,1,3,1089,,Yes
92000,1,2,1113,1888,Yes
395000,4,3,4222,2003,Yes
139750,1,4,1662,1983,Yes
140000,2,3,1339,1906,Yes
114000,2,3,1131,1948,Yes
414900,3,4,3595,2016,No
114900,1,3,1080,1987,Yes
219500,3,2,2396,2003,No
434900,5,4,3630,2017,No
399900,4,3,2527,,Yes
385000,4,4,3066,2005,No
235000,3,4,3066,1992,Yes
233500,3,3,3196,1975,Yes
332500,4,4,3725,2002,No
145900,2,3,1756,,Yes
127000,2,4,1819,1951,Yes
209900,3,4,2229,,Yes
315000,3,3,1950,2004,Yes
114900,2,2,1152,2001,Yes
159900,1,3,1330,1940,Yes
119900,2,3,1107,1953,Yes
152900,2,4,1447,2003,Yes
298000,4,4,2662,2002,No
234900,3,4,2175,1973,Yes
242900,3,3,2554,2006,Yes
119500,1,3,1225,1964,Yes
350000,3,4,5845,1970,No
