id,age,gender,country,traffic_source
457,65,M,Brasil,Search
6578,34,F,Brasil,Search
36280,13,M,Brasil,Email
60193,64,M,Brasil,Search
64231,25,F,Brasil,Search
72187,47,F,Brasil,Search
22528,64,M,Brasil,Search
34417,28,F,Brasil,Search
50098,52,M,Brasil,Email
63352,18,M,Brasil,Search
71901,14,F,Brasil,Organic
84937,57,F,Brasil,Search
85095,43,F,Brasil,Search
88385,59,F,Brasil,Search
95069,48,M,Brasil,Search
10146,38,F,Brasil,Organic
12977,52,F,Brasil,Search
17712,29,F,Brasil,Search
21246,62,M,Brasil,Email
22249,66,M,Brasil,Search
34745,32,M,Brasil,Search
38813,70,M,Brasil,Search
43614,20,F,Brasil,Search
50264,35,F,Brasil,Organic
57277,36,F,Brasil,Search
76400,39,F,Brasil,Search
81144,21,M,Brasil,Organic
84797,68,M,Brasil,Display
87728,51,M,Brasil,Search
89713,67,M,Brasil,Organic
6199,37,F,Brasil,Organic
6357,36,F,Brasil,Search
7528,18,F,Brasil,Search
8828,24,F,Brasil,Search
21663,51,F,Brasil,Search
31386,52,M,Brasil,Organic
31635,52,M,Brasil,Search
34865,36,F,Brasil,Display
44196,42,M,Brasil,Search
58559,57,M,Brasil,Email
92349,59,M,Brasil,Facebook
94811,66,F,Brasil,Search
95455,20,M,Brasil,Email
98741,40,F,Brasil,Search
66961,55,F,Japan,Search
79669,41,F,Japan,Search
8434,26,M,Japan,Search
46221,54,F,Japan,Search
34528,20,F,Japan,Facebook
58687,33,F,Japan,Search
2392,59,F,Japan,Search
5489,59,M,Japan,Search
84872,32,M,Japan,Search
16664,12,M,Japan,Search
49363,23,M,Japan,Search
87658,17,M,Japan,Search
46560,45,M,Japan,Search
55285,51,M,Japan,Search
90798,36,F,Japan,Search
6389,31,F,Japan,Organic
30360,26,M,Japan,Search
41933,31,F,Japan,Email
55802,16,F,Japan,Search
66753,66,F,Japan,Organic
78406,68,M,Japan,Organic
88335,57,M,Japan,Search
91208,56,M,Japan,Search
94728,69,F,Japan,Search
2959,55,F,Japan,Search
40525,52,M,Japan,Organic
1521,54,F,Japan,Search
10828,39,M,Japan,Search
11108,28,F,Japan,Display
62726,23,F,Japan,Search
64886,70,F,Japan,Search
88092,40,M,Japan,Organic
86092,49,F,Japan,Search
94941,53,M,Japan,Search
14711,47,M,Japan,Search
48008,55,F,Japan,Search
49899,51,M,Japan,Search
14959,65,F,Japan,Search
23992,23,M,Japan,Search
